               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                  28,             0.10459,            0.026092,           0.0081222,              0.1911,             0.31276,             0.34127,             0.20303,            0.050999,             0.10726,            0.031234,            0.010779,             0.18887,           0.0046228,           0.0046228,            0.058323
                  29,             0.10284,            0.028758,           0.0081912,             0.19139,             0.24493,             0.39789,             0.27421,            0.086061,             0.10377,            0.032227,           0.0096014,             0.18848,           0.0047821,           0.0047821,            0.056882
                  30,             0.10248,            0.026323,           0.0078192,             0.19099,             0.27568,             0.41389,             0.29595,            0.081998,             0.10596,            0.032206,            0.010503,             0.18847,           0.0049412,           0.0049412,            0.055441
                  31,              0.1156,            0.021893,           0.0077416,             0.19067,             0.74994,                0.22,             0.21074,            0.069152,             0.12011,            0.025409,            0.010023,             0.18859,           0.0051003,           0.0051003,               0.054
                  32,              0.1184,            0.021623,           0.0076454,             0.19026,             0.63282,               0.228,             0.12457,            0.036778,             0.11975,            0.024829,           0.0096385,             0.18718,           0.0052594,           0.0052594,            0.052559
                  33,             0.12152,            0.019802,           0.0080276,             0.18909,             0.36108,              0.2056,             0.22718,            0.080336,             0.12872,            0.019808,           0.0091232,             0.18715,           0.0054183,           0.0054183,            0.051118
                  34,             0.12304,            0.018869,           0.0073565,             0.18855,             0.16387,             0.32338,             0.14994,            0.049638,             0.12419,            0.020691,           0.0091078,             0.18681,           0.0055773,           0.0055773,            0.049677
                  35,             0.11811,            0.020449,           0.0078321,             0.18848,             0.22775,             0.51616,             0.20519,            0.050562,             0.10775,            0.031339,           0.0096856,             0.18622,           0.0057361,           0.0057361,            0.048236
                  36,             0.11649,            0.020834,           0.0079472,             0.18885,             0.86168,             0.27195,             0.30486,            0.069675,             0.11317,             0.02818,            0.010695,             0.18722,           0.0058949,           0.0058949,            0.046795
                  37,             0.11527,             0.02215,           0.0075637,             0.18813,             0.13971,             0.27975,             0.11324,            0.028281,             0.12217,            0.023306,           0.0089617,             0.18517,           0.0060536,           0.0060536,            0.045354
                  38,             0.11853,            0.020438,           0.0073674,             0.18805,             0.34566,             0.40564,             0.31327,            0.095554,             0.11248,            0.027429,           0.0084501,             0.18405,           0.0062123,           0.0062123,            0.043912
                  39,             0.11832,            0.019329,           0.0070241,             0.18767,             0.33177,               0.308,             0.29739,             0.10294,             0.11673,            0.025032,           0.0082934,              0.1859,           0.0063708,           0.0063708,            0.042471
                  40,             0.11535,            0.020914,           0.0074754,             0.18785,             0.24628,             0.38214,             0.22371,            0.060518,              0.1117,            0.028545,            0.010361,             0.18439,           0.0065293,           0.0065293,            0.041029
                  41,             0.11722,            0.020848,           0.0079512,             0.18762,             0.29358,             0.36614,             0.23144,             0.06563,             0.12285,            0.020593,           0.0087185,             0.18473,           0.0066878,           0.0066878,            0.039588
                  42,             0.12283,            0.017283,           0.0067857,              0.1863,             0.30337,             0.37178,             0.20935,              0.0596,             0.11837,             0.02305,           0.0082578,             0.18329,           0.0068461,           0.0068461,            0.038146
                  43,             0.11518,            0.021094,           0.0067996,             0.18672,             0.42011,              0.3684,             0.23778,            0.061614,              0.1089,            0.026998,           0.0080909,             0.18407,           0.0070044,           0.0070044,            0.036704
                  44,             0.11755,             0.02018,           0.0066855,              0.1866,             0.20871,             0.47178,             0.26368,            0.084389,             0.11831,              0.0235,           0.0085458,              0.1837,           0.0071626,           0.0071626,            0.035263
                  45,             0.11756,            0.019269,           0.0068118,               0.186,             0.23374,             0.35876,             0.18169,             0.06092,             0.11609,            0.024027,           0.0077185,             0.18261,           0.0073207,           0.0073207,            0.033821
                  46,             0.11307,            0.024385,           0.0070068,             0.18638,              0.3078,             0.40774,             0.29332,             0.11061,             0.11382,            0.026853,            0.008105,             0.18387,           0.0074787,           0.0074787,            0.032379
                  47,             0.11393,            0.021214,           0.0065655,             0.18522,              0.1921,             0.48378,             0.15829,            0.038271,             0.11684,            0.024445,           0.0080747,             0.18277,           0.0076366,           0.0076366,            0.030937
                  48,             0.11367,            0.021592,           0.0070371,             0.18535,             0.33577,             0.39941,             0.20224,            0.050686,             0.11603,             0.02372,            0.007918,             0.18145,           0.0077945,           0.0077945,            0.029494
                  49,             0.11518,            0.020167,           0.0063393,             0.18499,             0.22838,              0.4564,             0.18549,            0.043461,             0.11231,             0.02589,           0.0091838,             0.18246,           0.0079522,           0.0079522,            0.028052
                  50,             0.11429,            0.021425,           0.0061791,             0.18501,             0.28682,             0.37839,             0.28365,             0.10136,             0.12326,            0.020094,            0.007641,             0.18211,           0.0081099,           0.0081099,             0.02661
                  51,             0.11721,            0.020093,           0.0064879,             0.18442,             0.30288,             0.48366,             0.30146,            0.087138,              0.1133,            0.025438,           0.0076598,              0.1809,           0.0082674,           0.0082674,            0.025167
                  52,             0.11383,              0.0211,            0.006579,             0.18418,             0.40207,             0.38577,             0.33691,             0.10913,             0.10944,            0.025523,           0.0078994,             0.18132,           0.0084249,           0.0084249,            0.023725
                  53,             0.11441,            0.019414,           0.0064474,             0.18365,             0.38651,             0.36078,              0.2703,            0.092134,             0.11469,            0.024447,           0.0083043,             0.18058,           0.0085823,           0.0085823,            0.022282
                  54,             0.11266,            0.020476,           0.0060688,             0.18352,             0.33278,             0.47114,             0.30038,            0.082498,             0.11273,            0.024843,           0.0078134,             0.18127,           0.0087395,           0.0087395,             0.02084
                  55,             0.11394,            0.020984,            0.006231,             0.18243,               0.291,             0.38306,             0.22003,            0.064102,              0.1145,            0.023747,           0.0074916,             0.17962,           0.0088967,           0.0088967,            0.019397
                  56,             0.11363,            0.019624,           0.0057179,             0.18223,             0.25059,              0.3764,             0.15848,            0.045562,              0.1152,            0.024642,           0.0073671,             0.17828,           0.0090538,           0.0090538,            0.017954
